test,N,M,C,total_cost_ILP,total_cost_Mecler+LSG
from_1datA10_M10_N10_C5.txt,10,10,5,32,45
from_1datA1_M10_N10_C5.txt,10,10,5,31,42
from_1datA2_M10_N10_C5.txt,10,10,5,31,39
from_1datA3_M10_N10_C5.txt,10,10,5,25,30
from_1datA4_M10_N10_C5.txt,10,10,5,31,41
from_1datA5_M10_N10_C5.txt,10,10,5,31,43
from_1datA6_M10_N10_C5.txt,10,10,5,30,43
from_1datA7_M10_N10_C5.txt,10,10,5,26,38
from_1datA8_M10_N10_C5.txt,10,10,5,27,34
from_1datA9_M10_N10_C5.txt,10,10,5,34,49
from_1datB10_M20_N15_C8.txt,15,20,8,65,82
from_1datB1_M20_N15_C8.txt,15,20,8,52,67
from_1datB2_M20_N15_C8.txt,15,20,8,79,113
from_1datB3_M20_N15_C8.txt,15,20,8,70,95
from_1datB4_M20_N15_C8.txt,15,20,8,51,67
from_1datB5_M20_N15_C8.txt,15,20,8,59,72
from_1datB6_M20_N15_C8.txt,15,20,8,62,90
from_1datB7_M20_N15_C8.txt,15,20,8,62,86
from_1datB8_M20_N15_C8.txt,15,20,8,64,91
from_1datB9_M20_N15_C8.txt,15,20,8,59,83
from_1datC10_M40_N30_C17.txt,30,40,17,335,329
from_1datC1_M40_N30_C17.txt,30,40,17,350,365
from_1datC2_M40_N30_C17.txt,30,40,17,432,400
from_1datC3_M40_N30_C17.txt,30,40,17,333,320
from_1datC4_M40_N30_C17.txt,30,40,17,352,361
from_1datC5_M40_N30_C17.txt,30,40,17,334,308
from_1datC6_M40_N30_C17.txt,30,40,17,367,379
from_1datC7_M40_N30_C17.txt,30,40,17,365,359
from_1datC8_M40_N30_C17.txt,30,40,17,361,349
from_1datC9_M40_N30_C17.txt,30,40,17,313,311
from_1datD10_M60_N40_C22.txt,40,60,22,1568,837
from_1datD1_M60_N40_C22.txt,40,60,22,1245,689
from_1datD2_M60_N40_C22.txt,40,60,22,1217,561
from_1datD3_M60_N40_C22.txt,40,60,22,1491,743
from_1datD4_M60_N40_C22.txt,40,60,22,1432,734
from_1datD5_M60_N40_C22.txt,40,60,22,1295,638
from_1datD6_M60_N40_C22.txt,40,60,22,1339,706
from_1datD7_M60_N40_C22.txt,40,60,22,1438,779
from_1datD8_M60_N40_C22.txt,40,60,22,1349,637
from_1datD9_M60_N40_C22.txt,40,60,22,1484,766
from_2F1001.txt_M75_N50_C30.txt,50,75,30,2120,863
from_2F1002.txt_M75_N50_C30.txt,50,75,30,2010,944
from_2F1003.txt_M75_N50_C30.txt,50,75,30,2028,878
from_2F1004.txt_M75_N50_C30.txt,50,75,30,2191,972
from_2F1005.txt_M75_N50_C30.txt,50,75,30,1995,888
from_2F2001.txt_M90_N60_C40.txt,60,90,40,3244,1371
from_2F2002.txt_M90_N60_C40.txt,60,90,40,3311,1566
from_2F2003.txt_M90_N60_C40.txt,60,90,40,2946,1335
from_2F2004.txt_M90_N60_C40.txt,60,90,40,3290,1392
from_2F2005.txt_M90_N60_C40.txt,60,90,40,3129,1263
from_2F3001.txt_M105_N70_C45.txt,70,105,45,4680,2129
from_2F3002.txt_M105_N70_C45.txt,70,105,45,4578,1991
from_2F3003.txt_M105_N70_C45.txt,70,105,45,4355,2029
from_2F3004.txt_M105_N70_C45.txt,70,105,45,4516,1905
from_2F3005.txt_M105_N70_C45.txt,70,105,45,4672,2017
from_2datA10_M10_N10_C6.txt,10,10,6,28,35
from_2datA1_M10_N10_C6.txt,10,10,6,35,44
from_2datA2_M10_N10_C6.txt,10,10,6,25,26
from_2datA3_M10_N10_C6.txt,10,10,6,33,38
from_2datA4_M10_N10_C6.txt,10,10,6,34,42
from_2datA5_M10_N10_C6.txt,10,10,6,26,31
from_2datA6_M10_N10_C6.txt,10,10,6,37,47
from_2datA7_M10_N10_C6.txt,10,10,6,32,37
from_2datA8_M10_N10_C6.txt,10,10,6,24,28
from_2datA9_M10_N10_C6.txt,10,10,6,26,32
from_2datB10_M20_N15_C10.txt,15,20,10,58,71
from_2datB1_M20_N15_C10.txt,15,20,10,69,75
from_2datB2_M20_N15_C10.txt,15,20,10,58,80
from_2datB3_M20_N15_C10.txt,15,20,10,47,61
from_2datB4_M20_N15_C10.txt,15,20,10,54,60
from_2datB5_M20_N15_C10.txt,15,20,10,57,72
from_2datB6_M20_N15_C10.txt,15,20,10,70,86
from_2datB7_M20_N15_C10.txt,15,20,10,56,75
from_2datB8_M20_N15_C10.txt,15,20,10,59,94
from_2datB9_M20_N15_C10.txt,15,20,10,46,55
from_2datC10_M40_N30_C20.txt,30,40,20,288,289
from_2datC1_M40_N30_C20.txt,30,40,20,275,270
from_2datC2_M40_N30_C20.txt,30,40,20,354,318
from_2datC3_M40_N30_C20.txt,30,40,20,295,278
from_2datC4_M40_N30_C20.txt,30,40,20,291,288
from_2datC5_M40_N30_C20.txt,30,40,20,272,251
from_2datC6_M40_N30_C20.txt,30,40,20,308,267
from_2datC7_M40_N30_C20.txt,30,40,20,280,262
