test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
from_1datA10_M10_N10_C5.txt,10,10,5,51,51,51,0.305,0.008,0.116
from_1datA1_M10_N10_C5.txt,10,10,5,44,44,44,0.167,0.007,0.131
from_1datA2_M10_N10_C5.txt,10,10,5,35,35,35,0.185,0.007,0.111
from_1datA3_M10_N10_C5.txt,10,10,5,35,35,35,0.252,0.007,0.106
from_1datA4_M10_N10_C5.txt,10,10,5,42,42,42,0.198,0.008,0.109
from_1datA5_M10_N10_C5.txt,10,10,5,40,40,40,0.208,0.008,0.13
from_1datA6_M10_N10_C5.txt,10,10,5,35,35,35,0.21,0.008,0.137
from_1datA7_M10_N10_C5.txt,10,10,5,33,33,33,0.248,0.008,0.102
from_1datA8_M10_N10_C5.txt,10,10,5,39,39,39,0.22,0.008,0.103
from_1datA9_M10_N10_C5.txt,10,10,5,50,50,50,0.184,0.008,0.142
from_1datB10_M20_N15_C8.txt,15,20,8,94,94,94,0.288,0.017,0.637
from_1datB1_M20_N15_C8.txt,15,20,8,72,72,72,0.246,0.015,0.433
from_1datB2_M20_N15_C8.txt,15,20,8,108,108,108,0.273,0.018,0.75
from_1datB3_M20_N15_C8.txt,15,20,8,89,89,89,0.291,0.019,0.783
from_1datB4_M20_N15_C8.txt,15,20,8,73,73,73,0.264,0.018,0.521
from_1datB5_M20_N15_C8.txt,15,20,8,78,78,78,0.254,0.016,0.559
from_1datB6_M20_N15_C8.txt,15,20,8,81,81,81,0.286,0.018,0.701
from_1datB7_M20_N15_C8.txt,15,20,8,69,69,69,0.255,0.015,0.47
from_1datB8_M20_N15_C8.txt,15,20,8,95,95,95,0.266,0.019,0.63
from_1datB9_M20_N15_C8.txt,15,20,8,87,87,87,0.249,0.018,0.563
from_1datC10_M40_N30_C17.txt,30,40,17,330,330,330,0.732,0.117,13.291
from_1datC1_M40_N30_C17.txt,30,40,17,374,374,374,0.715,0.119,16.615
from_1datC2_M40_N30_C17.txt,30,40,17,394,394,394,0.75,0.121,16.299
from_1datC3_M40_N30_C17.txt,30,40,17,309,309,309,0.767,0.12,15.527
from_1datC4_M40_N30_C17.txt,30,40,17,345,345,345,0.833,0.123,18.52
from_1datC5_M40_N30_C17.txt,30,40,17,295,295,295,0.705,0.134,16.756
from_1datC6_M40_N30_C17.txt,30,40,17,375,375,375,0.759,0.128,15.092
from_1datC7_M40_N30_C17.txt,30,40,17,378,378,378,0.856,0.125,15.019
from_1datC8_M40_N30_C17.txt,30,40,17,355,355,355,0.859,0.125,14.88
from_1datC9_M40_N30_C17.txt,30,40,17,303,303,303,0.9,0.128,13.105
from_1datD10_M60_N40_C22.txt,40,60,22,819,819,819,1.616,0.324,68.979
from_1datD1_M60_N40_C22.txt,40,60,22,648,648,648,1.294,0.31,62.511
from_1datD2_M60_N40_C22.txt,40,60,22,584,584,584,1.493,0.301,46.223
from_1datD3_M60_N40_C22.txt,40,60,22,715,715,715,1.603,0.314,57.276
from_1datD4_M60_N40_C22.txt,40,60,22,704,704,704,1.373,0.329,61.727
from_1datD5_M60_N40_C22.txt,40,60,22,664,664,664,1.363,0.316,52.361
from_1datD6_M60_N40_C22.txt,40,60,22,710,710,710,1.506,0.333,67.97
from_1datD7_M60_N40_C22.txt,40,60,22,788,788,788,1.468,0.328,61.746
from_1datD8_M60_N40_C22.txt,40,60,22,642,642,642,1.483,0.319,47.012
from_1datD9_M60_N40_C22.txt,40,60,22,727,727,727,1.424,0.314,65.451
from_2F1001.txt_M75_N50_C30.txt,50,75,30,815,815,815,2.106,0.685,161.493
from_2F1002.txt_M75_N50_C30.txt,50,75,30,923,923,923,2.183,0.751,178.233
from_2F1003.txt_M75_N50_C30.txt,50,75,30,918,918,918,2.094,0.711,173.983
from_2F1004.txt_M75_N50_C30.txt,50,75,30,982,982,982,2.289,0.778,196.286
from_2F1005.txt_M75_N50_C30.txt,50,75,30,885,885,885,2.128,0.71,181.57
from_2F2001.txt_M90_N60_C40.txt,60,90,40,1405,1405,1405,3.211,1.605,656.361
from_2F2002.txt_M90_N60_C40.txt,60,90,40,1607,1607,1607,3.284,1.743,683.249
from_2F2003.txt_M90_N60_C40.txt,60,90,40,1309,1309,1309,3.225,1.456,613.824
from_2F2004.txt_M90_N60_C40.txt,60,90,40,1331,1331,1331,3.192,1.465,735.557
from_2F2005.txt_M90_N60_C40.txt,60,90,40,1340,1340,1340,3.342,1.376,752.001
from_2F3001.txt_M105_N70_C45.txt,70,105,45,2174,2174,2174,4.403,2.338,1541.159
from_2F3002.txt_M105_N70_C45.txt,70,105,45,1973,1973,1973,4.98,1.982,1325.122
from_2F3003.txt_M105_N70_C45.txt,70,105,45,2030,2030,2030,9.554,2.06,1408.234
from_2F3004.txt_M105_N70_C45.txt,70,105,45,1826,1826,1826,5.174,1.86,1165.101
from_2F3005.txt_M105_N70_C45.txt,70,105,45,1961,1961,1961,5.303,2.013,1183.113
from_2datA10_M10_N10_C6.txt,10,10,6,40,40,40,0.221,0.009,0.143
from_2datA1_M10_N10_C6.txt,10,10,6,44,44,44,0.205,0.008,0.147
from_2datA2_M10_N10_C6.txt,10,10,6,26,26,26,0.198,0.008,0.101
from_2datA3_M10_N10_C6.txt,10,10,6,36,36,36,0.218,0.008,0.117
from_2datA4_M10_N10_C6.txt,10,10,6,45,45,45,0.214,0.009,0.122
from_2datA5_M10_N10_C6.txt,10,10,6,30,30,30,0.209,0.009,0.15
