test,N,M,C,total_cost_ILP,total_cost_Mecler+LSG
rand_M103_N35_C5_id000.txt,35,103,5,429,298
rand_M108_N36_C6_id000.txt,36,108,6,443,322
rand_M112_N37_C6_id000.txt,37,112,6,384,382
rand_M117_N38_C6_id000.txt,38,117,6,502,355
rand_M121_N39_C6_id000.txt,39,121,6,565,372
rand_M126_N40_C6_id000.txt,40,126,6,491,341
rand_M131_N41_C6_id000.txt,41,131,6,502,366
rand_M136_N42_C6_id000.txt,42,136,6,461,305
rand_M140_N43_C6_id000.txt,43,140,6,709,465
rand_M145_N44_C6_id000.txt,44,145,6,557,374
rand_M150_N45_C6_id000.txt,45,150,6,728,520
rand_M155_N46_C6_id000.txt,46,155,6,641,403
rand_M15_N10_C3_id000.txt,10,15,3,42,47
rand_M161_N47_C6_id000.txt,47,161,6,583,433
rand_M166_N48_C6_id000.txt,48,166,6,706,501
rand_M171_N49_C7_id000.txt,49,171,7,816,540
rand_M176_N50_C7_id000.txt,50,176,7,817,544
rand_M182_N51_C7_id000.txt,51,182,7,766,443
rand_M187_N52_C7_id000.txt,52,187,7,767,507
rand_M18_N11_C3_id000.txt,11,18,3,35,40
rand_M192_N53_C7_id000.txt,53,192,7,770,512
rand_M198_N54_C7_id000.txt,54,198,7,809,620
rand_M203_N55_C7_id000.txt,55,203,7,886,573
rand_M209_N56_C7_id000.txt,56,209,7,954,671
rand_M20_N12_C3_id000.txt,12,20,3,42,54
rand_M215_N57_C7_id000.txt,57,215,7,1032,638
rand_M220_N58_C7_id000.txt,58,220,7,933,654
rand_M226_N59_C7_id000.txt,59,226,7,965,610
rand_M232_N60_C7_id000.txt,60,232,7,965,680
rand_M238_N61_C7_id000.txt,61,238,7,932,638
rand_M23_N13_C3_id000.txt,13,23,3,41,48
rand_M244_N62_C7_id000.txt,62,244,7,987,676
rand_M250_N63_C7_id000.txt,63,250,7,989,673
rand_M256_N64_C8_id000.txt,64,256,8,1218,779
rand_M262_N65_C8_id000.txt,65,262,8,1195,865
rand_M268_N66_C8_id000.txt,66,268,8,1363,923
rand_M26_N14_C3_id000.txt,14,26,3,48,70
rand_M274_N67_C8_id000.txt,67,274,8,1275,838
rand_M280_N68_C8_id000.txt,68,280,8,1293,934
rand_M286_N69_C8_id000.txt,69,286,8,1185,810
rand_M292_N70_C8_id000.txt,70,292,8,1318,851
rand_M299_N71_C8_id000.txt,71,299,8,1355,862
rand_M29_N15_C3_id000.txt,15,29,3,51,67
rand_M305_N72_C8_id000.txt,72,305,8,1208,860
rand_M311_N73_C8_id000.txt,73,311,8,1418,886
rand_M318_N74_C8_id000.txt,74,318,8,1251,886
rand_M324_N75_C8_id000.txt,75,324,8,1359,992
rand_M32_N16_C4_id000.txt,16,32,4,66,91
rand_M331_N76_C8_id000.txt,76,331,8,1364,985
rand_M337_N77_C8_id000.txt,77,337,8,1434,951
rand_M344_N78_C8_id000.txt,78,344,8,1444,1005
rand_M351_N79_C8_id000.txt,79,351,8,1479,975
rand_M357_N80_C8_id000.txt,80,357,8,1477,987
rand_M35_N17_C4_id000.txt,17,35,4,79,94
rand_M364_N81_C9_id000.txt,81,364,9,1782,1211
rand_M371_N82_C9_id000.txt,82,371,9,1739,1076
rand_M378_N83_C9_id000.txt,83,378,9,1619,1023
rand_M384_N84_C9_id000.txt,84,384,9,1846,1165
rand_M38_N18_C4_id000.txt,18,38,4,80,105
rand_M391_N85_C9_id000.txt,85,391,9,1997,1261
rand_M398_N86_C9_id000.txt,86,398,9,1828,1248
rand_M405_N87_C9_id000.txt,87,405,9,1812,1168
rand_M412_N88_C9_id000.txt,88,412,9,1970,1428
rand_M419_N89_C9_id000.txt,89,419,9,1958,1269
rand_M41_N19_C4_id000.txt,19,41,4,121,163
rand_M426_N90_C9_id000.txt,90,426,9,1878,1201
rand_M434_N91_C9_id000.txt,91,434,9,1866,1323
rand_M441_N92_C9_id000.txt,92,441,9,2023,1212
rand_M448_N93_C9_id000.txt,93,448,9,2170,1386
rand_M44_N20_C4_id000.txt,20,44,4,117,159
rand_M455_N94_C9_id000.txt,94,455,9,1982,1260
rand_M462_N95_C9_id000.txt,95,462,9,1965,1301
rand_M470_N96_C9_id000.txt,96,470,9,2032,1408
rand_M477_N97_C9_id000.txt,97,477,9,2101,1349
rand_M485_N98_C9_id000.txt,98,485,9,1955,1363
rand_M48_N21_C4_id000.txt,21,48,4,97,116
rand_M492_N99_C9_id000.txt,99,492,9,1976,1341
rand_M500_N100_C10_id000.txt,100,500,10,2372,1595
rand_M51_N22_C4_id000.txt,22,51,4,99,114
rand_M55_N23_C4_id000.txt,23,55,4,109,140
rand_M58_N24_C4_id000.txt,24,58,4,138,176
rand_M62_N25_C5_id000.txt,25,62,5,145,169
rand_M66_N26_C5_id000.txt,26,66,5,141,181
rand_M70_N27_C5_id000.txt,27,70,5,169,192
rand_M74_N28_C5_id000.txt,28,74,5,199,235
rand_M78_N29_C5_id000.txt,29,78,5,175,217
rand_M82_N30_C5_id000.txt,30,82,5,247,240
rand_M86_N31_C5_id000.txt,31,86,5,321,229
rand_M90_N32_C5_id000.txt,32,90,5,266,259
rand_M94_N33_C5_id000.txt,33,94,5,310,222
rand_M99_N34_C5_id000.txt,34,99,5,353,264
