test,N,M,C,total_cost_Crama’s LP,total_cost_LSG,total_cost_Privault-Finke,millis_Crama’s LP,millis_LSG,millis_Privault-Finke
rand_M1002_N159_C12_id000.txt,159,1002,12,3176,3176,3176,6.849,0.755,230.066
rand_M1011_N160_C12_id000.txt,160,1011,12,3240,3240,3240,7.274,0.95,221.081
rand_M1021_N161_C12_id000.txt,161,1021,12,2841,2841,2841,6.499,0.773,185.694
rand_M1030_N162_C12_id000.txt,162,1030,12,2942,2942,2942,6.629,0.897,180.538
rand_M103_N35_C5_id000.txt,35,103,5,263,263,263,0.232,0.059,0.941
rand_M1040_N163_C12_id000.txt,163,1040,12,3027,3027,3027,6.611,0.906,186.961
rand_M1050_N164_C12_id000.txt,164,1050,12,3036,3036,3036,7.09,0.89,235.172
rand_M1059_N165_C12_id000.txt,165,1059,12,2810,2810,2810,7.062,0.594,182.333
rand_M1069_N166_C12_id000.txt,166,1069,12,3090,3090,3090,6.978,0.579,209.642
rand_M1079_N167_C12_id000.txt,167,1079,12,2928,2928,2928,6.159,0.532,183.266
rand_M1088_N168_C12_id000.txt,168,1088,12,3051,3051,3051,6.855,0.599,198.652
rand_M108_N36_C6_id000.txt,36,108,6,335,335,335,0.391,0.033,1.601
rand_M1098_N169_C13_id000.txt,169,1098,13,3762,3762,3762,10.574,0.909,302.358
rand_M1108_N170_C13_id000.txt,170,1108,13,3324,3324,3324,8.092,0.775,249.442
rand_M1118_N171_C13_id000.txt,171,1118,13,3335,3335,3335,8.06,0.662,232.685
rand_M1127_N172_C13_id000.txt,172,1127,13,3428,3428,3428,8.721,0.705,247.807
rand_M112_N37_C6_id000.txt,37,112,6,426,426,426,0.445,0.037,2.328
rand_M1137_N173_C13_id000.txt,173,1137,13,3472,3472,3472,8.764,0.813,254.589
rand_M1147_N174_C13_id000.txt,174,1147,13,3679,3679,3679,8.999,0.75,278.161
rand_M1157_N175_C13_id000.txt,175,1157,13,3496,3496,3496,9.513,0.879,273.739
rand_M1167_N176_C13_id000.txt,176,1167,13,3486,3486,3486,8.48,0.796,247.685
rand_M1177_N177_C13_id000.txt,177,1177,13,3622,3622,3622,9.939,0.783,272.928
rand_M117_N38_C6_id000.txt,38,117,6,305,305,305,0.461,0.033,1.766
rand_M1187_N178_C13_id000.txt,178,1187,13,3531,3531,3531,8.591,0.671,263.916
rand_M1197_N179_C13_id000.txt,179,1197,13,3827,3827,3827,10.044,0.754,294.026
rand_M1207_N180_C13_id000.txt,180,1207,13,3685,3685,3685,9.545,0.874,295.477
rand_M1217_N181_C13_id000.txt,181,1217,13,3434,3434,3434,8.562,0.753,248.289
rand_M121_N39_C6_id000.txt,39,121,6,344,344,344,0.483,0.054,1.714
rand_M1227_N182_C13_id000.txt,182,1227,13,3736,3736,3736,9.441,0.798,295.307
rand_M1237_N183_C13_id000.txt,183,1237,13,3518,3518,3518,8.564,0.813,257.895
rand_M1247_N184_C13_id000.txt,184,1247,13,3552,3552,3552,9.219,0.961,265.297
rand_M1258_N185_C13_id000.txt,185,1258,13,3658,3658,3658,9.773,0.876,299.916
rand_M1268_N186_C13_id000.txt,186,1268,13,3884,3884,3884,9.829,0.748,301.917
rand_M126_N40_C6_id000.txt,40,126,6,414,414,414,0.343,0.038,2.187
rand_M1278_N187_C13_id000.txt,187,1278,13,3700,3700,3700,9.79,0.734,300.948
rand_M1288_N188_C13_id000.txt,188,1288,13,4081,4081,4081,10.285,0.931,335.749
rand_M1299_N189_C13_id000.txt,189,1299,13,3553,3553,3553,9.442,0.781,279.474
rand_M1309_N190_C13_id000.txt,190,1309,13,4056,4056,4056,11.277,1.073,327.875
rand_M1319_N191_C13_id000.txt,191,1319,13,3888,3888,3888,9.967,0.943,327.687
rand_M131_N41_C6_id000.txt,41,131,6,357,357,357,0.386,0.044,2.147
rand_M1330_N192_C13_id000.txt,192,1330,13,3598,3598,3598,9.415,0.967,276.706
rand_M1340_N193_C13_id000.txt,193,1340,13,3829,3829,3829,10.275,1.581,328.8
rand_M1351_N194_C13_id000.txt,194,1351,13,3847,3847,3847,9.451,1.985,307.339
rand_M1361_N195_C13_id000.txt,195,1361,13,3972,3972,3972,11.036,1.401,347.656
rand_M136_N42_C6_id000.txt,42,136,6,468,468,468,0.489,0.047,3.308
rand_M1372_N196_C14_id000.txt,196,1372,14,4352,4352,4352,12.481,1.216,473.712
rand_M1382_N197_C14_id000.txt,197,1382,14,4450,4450,4450,11.839,1.022,497.674
rand_M1393_N198_C14_id000.txt,198,1393,14,4613,4613,4613,13.546,1.479,530.983
rand_M1403_N199_C14_id000.txt,199,1403,14,3916,3916,3916,10.223,0.955,378.771
rand_M140_N43_C6_id000.txt,43,140,6,351,351,351,0.286,0.072,2.106
rand_M1414_N200_C14_id000.txt,200,1414,14,4317,4317,4317,11.446,0.989,427.951
rand_M1424_N201_C14_id000.txt,201,1424,14,4599,4599,4599,13.666,1.042,509.71
rand_M1435_N202_C14_id000.txt,202,1435,14,4438,4438,4438,12.563,1.109,479.185
rand_M1446_N203_C14_id000.txt,203,1446,14,4370,4370,4370,11.409,1.072,464.124
rand_M1456_N204_C14_id000.txt,204,1456,14,4582,4582,4582,13.217,1.236,479.444
rand_M145_N44_C6_id000.txt,44,145,6,406,406,406,0.502,0.047,2.317
rand_M1467_N205_C14_id000.txt,205,1467,14,4369,4369,4369,13.18,1.145,455.157
rand_M1478_N206_C14_id000.txt,206,1478,14,4417,4417,4417,12.509,1.307,435.636
rand_M1489_N207_C14_id000.txt,207,1489,14,4585,4585,4585,13.817,1.1,449.81
rand_M1499_N208_C14_id000.txt,208,1499,14,4535,4535,4535,13.147,1.145,476.603
rand_M150_N45_C6_id000.txt,45,150,6,414,414,414,0.531,0.063,2.433
rand_M1510_N209_C14_id000.txt,209,1510,14,4323,4323,4323,12.208,1.059,423.269
