Dataset,n,m,C,ILP Avg,ILP Best,Mecler+LSG Avg,Mecler+LSG Best,Mecler+LSG SD
A1,10,10,4,34.90,34.90,43.03,35.60,2.09
A2,10,10,5,29.81,29.80,34.47,30.30,1.66
A3,10,10,6,30.00,30.00,32.81,30.00,1.21
A4,10,10,7,29.90,29.90,31.51,29.90,0.82
B1,15,20,6,80.26,79.20,84.80,75.60,2.47
B2,15,20,8,62.95,62.40,67.80,60.60,1.63
B3,15,20,10,57.66,57.50,61.23,57.20,1.34
B4,15,20,12,59.43,59.40,61.42,59.60,0.91
C1,30,40,15,577.58,557.10,297.34,279.10,2.57
C2,30,40,17,485.85,412.50,239.99,224.00,1.94
C3,30,40,20,382.96,309.90,199.99,187.00,1.93
C4,30,40,25,268.16,249.50,150.63,141.80,1.26
D1,40,60,20,1356.40,1356.40,560.88,540.50,3.08
D2,40,60,22,1385.80,1385.80,498.80,480.00,2.98
D3,40,60,25,1453.21,1439.80,450.00,430.30,3.04
D4,40,60,30,1226.32,1223.10,329.36,312.00,2.51
F1.1,50,75,25,2092.40,2092.40,839.30,818.80,4.70
F1.2,50,75,30,2068.80,2068.80,635.60,611.80,4.20
F1.3,50,75,35,1955.00,1955.00,537.20,517.00,4.81
F1.4,50,75,40,1778.40,1778.40,447.68,429.20,4.28
F2.1,60,90,35,3375.20,3375.20,1298.60,1265.00,6.89
F2.2,60,90,40,3184.00,3184.00,1011.34,988.80,9.32
F2.3,60,90,45,3046.60,3046.60,855.58,829.60,6.24
F2.4,60,90,50,2807.20,2807.20,697.48,677.60,6.70
F3.1,70,105,40,4592.20,4592.20,1737.28,1702.20,10.87
F3.2,70,105,45,4560.20,4560.20,1473.82,1432.60,9.61
F3.3,70,105,50,4394.40,4394.40,1219.56,1179.80,11.09
F3.4,70,105,55,4052.60,4052.60,999.48,965.20,11.34
