Dataset,n,m,C,Privault-Finke,Crama's LP,LSG
A1,10,10,4,0.112,0.174,0.007
A2,10,10,5,0.119,0.218,0.008
A3,10,10,6,0.130,0.210,0.008
A4,10,10,7,0.142,0.204,0.009
B1,15,20,6,0.500,0.236,0.014
B2,15,20,8,0.605,0.267,0.017
B3,15,20,10,0.610,0.251,0.019
B4,15,20,12,0.663,0.277,0.021
C1,30,40,15,13.518,0.824,0.109
C2,30,40,17,15.510,0.788,0.124
C3,30,40,20,16.406,0.761,0.151
C4,30,40,25,17.798,0.752,0.176
D1,40,60,20,59.828,1.513,0.287
D2,40,60,22,59.126,1.462,0.319
D3,40,60,25,61.609,1.481,0.376
D4,40,60,30,72.180,1.713,0.414
F1.1,50,75,25,188.476,2.771,0.544
F1.2,50,75,30,178.313,2.160,0.727
F1.3,50,75,35,185.179,2.425,0.819
F1.4,50,75,40,199.649,2.288,0.821
F2.1,60,90,35,705.960,3.963,1.139
F2.2,60,90,40,688.198,3.251,1.529
F2.3,60,90,45,635.008,3.850,1.589
F2.4,60,90,50,732.694,3.754,1.581
F3.1,70,105,40,1419.056,5.275,1.682
F3.2,70,105,45,1324.546,5.037,2.051
F3.3,70,105,50,1304.595,5.205,2.299
F3.4,70,105,55,1651.610,5.098,2.325
